id,gender,age_group,city_tier,education,monthly_income,usage_freq,q1_easy_use,q2_visual_design,q3_response_speed,q4_feature_fit,q5_value_money,q6_intent_continue,satisfaction,recommend_nps,attention_check,completion_seconds,straightline_flag,device,open_text_tag,is_valid
1,female,23-29,tier1,college,10k-20k,rarely,4,3,2,3,3,4,3,5,1,237,0,mobile,feature_request,1
2,female,40-49,tier2,master_plus,10k-20k,daily,4,2,3,3,3,5,3,10,1,281,0,mobile,performance,1
3,male,23-29,tier2,college,10k-20k,weekly,4,4,4,4,5,4,4,10,1,131,0,mobile,performance,1
4,male,23-29,tier3,college,>20k,daily,5,5,5,5,4,4,5,10,1,167,0,mobile,stability,1
5,female,18-22,tier1,highschool_or_below,5k-10k,weekly,3,3,2,4,5,4,4,10,1,294,0,mobile,feature_request,1
6,male,23-29,tier2,master_plus,10k-20k,weekly,3,4,4,3,3,4,3,5,1,173,0,desktop,feature_request,1
7,female,30-39,tier4plus,bachelor,<5k,weekly,4,2,4,4,4,3,4,9,1,48,0,mobile,ui,0
8,female,40-49,tier2,master_plus,>20k,daily,2,2,3,2,1,3,3,5,1,384,0,mobile,performance,1
9,female,40-49,tier1,college,5k-10k,monthly,4,3,2,3,3,4,3,2,1,141,0,mobile,feature_request,1
10,male,18-22,tier4plus,bachelor,<5k,weekly,5,5,3,3,3,4,4,9,1,185,0,mobile,feature_request,1
11,male,23-29,tier4plus,college,<5k,daily,4,5,4,5,4,4,5,10,1,259,0,mobile,ui,1
12,female,30-39,tier2,master_plus,5k-10k,daily,4,4,4,3,4,4,4,9,0,223,0,desktop,ui,0
13,male,23-29,tier2,bachelor,>20k,weekly,1,3,2,2,3,1,2,5,1,192,0,mobile,performance,1
14,male,50+,tier3,highschool_or_below,5k-10k,weekly,3,5,3,4,4,4,4,10,1,176,0,mobile,price,1
15,male,30-39,tier2,college,10k-20k,monthly,4,4,3,4,5,4,4,7,1,49,0,mobile,feature_request,0
16,female,30-39,tier2,college,5k-10k,daily,4,4,4,4,4,4,4,10,1,291,1,mobile,stability,0
17,female,23-29,tier1,bachelor,>20k,monthly,4,3,3,3,3,3,3,8,1,192,0,desktop,stability,1
18,male,30-39,tier2,college,>20k,daily,4,3,3,4,2,3,4,8,1,226,0,mobile,stability,1
19,male,30-39,tier1,college,5k-10k,daily,5,5,5,5,4,5,5,10,1,130,0,mobile,stability,1
20,male,23-29,tier4plus,bachelor,<5k,weekly,2,1,2,3,2,3,2,3,1,232,0,desktop,performance,1
21,male,18-22,tier3,master_plus,5k-10k,weekly,5,3,4,5,4,5,4,8,1,255,0,mobile,ui,1
22,female,18-22,tier1,bachelor,5k-10k,rarely,3,3,4,3,3,3,4,10,1,304,0,mobile,ui,1
23,male,18-22,tier2,college,10k-20k,rarely,3,2,4,4,2,4,3,5,1,169,0,mobile,feature_request,1
24,female,18-22,tier3,bachelor,>20k,weekly,3,2,3,2,4,3,3,5,0,126,0,mobile,stability,0
25,male,23-29,tier4plus,master_plus,10k-20k,daily,5,5,5,4,5,4,5,10,1,252,0,mobile,feature_request,1
26,female,40-49,tier3,bachelor,10k-20k,weekly,1,2,3,2,2,2,1,4,1,139,0,mobile,performance,1
27,female,18-22,tier1,college,<5k,weekly,4,4,4,4,5,5,4,10,1,212,0,mobile,ui,1
28,female,30-39,tier2,bachelor,5k-10k,daily,4,5,5,5,5,5,4,10,1,144,0,mobile,ui,1
29,male,30-39,tier1,bachelor,5k-10k,weekly,4,3,4,2,4,4,3,7,0,265,0,mobile,stability,0
30,male,40-49,tier2,bachelor,>20k,monthly,4,3,3,3,3,2,3,5,1,270,0,mobile,stability,1
31,male,18-22,tier3,bachelor,5k-10k,monthly,3,4,2,4,5,3,3,4,1,174,0,desktop,stability,1
32,male,30-39,tier2,bachelor,10k-20k,weekly,4,4,4,4,3,3,4,8,1,347,0,desktop,stability,1
33,female,40-49,tier1,bachelor,10k-20k,monthly,3,5,4,4,3,3,4,10,1,334,0,mobile,price,1
34,female,23-29,tier3,college,10k-20k,weekly,4,4,4,4,3,3,3,7,0,139,0,desktop,performance,0
35,female,40-49,tier2,bachelor,5k-10k,daily,5,5,5,5,4,5,5,10,1,181,0,mobile,ui,1
36,male,30-39,tier2,master_plus,5k-10k,weekly,3,3,3,3,3,3,5,10,1,191,1,mobile,performance,0
37,female,30-39,tier4plus,college,10k-20k,daily,5,4,3,5,5,5,5,10,1,173,0,mobile,stability,1
38,female,30-39,tier2,master_plus,<5k,monthly,4,3,5,4,5,5,5,10,1,270,0,mobile,ui,1
39,female,30-39,tier3,college,5k-10k,monthly,2,2,3,4,2,4,2,6,1,57,0,desktop,feature_request,0
40,male,18-22,tier2,college,>20k,daily,5,4,4,4,4,4,4,10,1,57,0,desktop,price,0
41,male,23-29,tier1,bachelor,5k-10k,monthly,4,5,5,5,5,4,5,10,1,266,0,mobile,performance,1
42,male,23-29,tier1,highschool_or_below,5k-10k,rarely,3,2,3,3,1,2,3,6,1,195,0,mobile,performance,1
43,female,18-22,tier2,bachelor,5k-10k,daily,4,4,5,3,4,5,4,10,1,349,0,mobile,feature_request,1
44,male,23-29,tier3,college,<5k,rarely,4,3,4,5,5,3,4,9,1,200,0,desktop,stability,1
45,male,30-39,tier4plus,bachelor,<5k,daily,5,3,4,4,5,3,4,10,1,35,0,mobile,feature_request,0
46,female,30-39,tier1,bachelor,5k-10k,weekly,4,3,5,4,2,4,4,6,0,76,0,mobile,feature_request,0
47,male,18-22,tier2,highschool_or_below,5k-10k,daily,5,3,4,3,5,5,4,10,1,117,0,desktop,stability,1
48,male,30-39,tier4plus,bachelor,10k-20k,weekly,3,3,2,3,2,4,4,9,1,198,0,mobile,stability,1
49,male,30-39,tier3,bachelor,<5k,weekly,3,4,3,3,2,3,3,7,0,228,0,desktop,performance,0
50,male,30-39,tier3,college,10k-20k,monthly,5,4,4,3,3,5,4,10,1,186,0,mobile,price,1
51,female,30-39,tier2,college,5k-10k,weekly,4,4,3,4,1,5,4,8,1,128,0,mobile,performance,1
52,female,40-49,tier4plus,college,10k-20k,daily,3,3,2,3,3,2,3,5,1,52,0,mobile,price,0
53,male,18-22,tier2,master_plus,<5k,daily,4,2,4,4,3,4,4,10,1,238,0,mobile,performance,1
54,male,30-39,tier4plus,highschool_or_below,10k-20k,daily,4,4,4,4,3,5,3,5,1,255,0,mobile,stability,1
55,male,40-49,tier2,college,5k-10k,monthly,4,4,4,4,3,3,3,8,1,158,0,mobile,ui,1
56,male,23-29,tier4plus,college,10k-20k,weekly,4,4,4,4,2,4,4,10,1,212,0,mobile,ui,1
57,female,18-22,tier2,bachelor,5k-10k,monthly,3,4,4,5,5,4,4,10,1,321,0,mobile,performance,1
58,female,30-39,tier1,master_plus,5k-10k,weekly,3,3,4,4,3,4,4,10,1,332,0,mobile,feature_request,1
59,female,23-29,tier1,college,10k-20k,daily,3,4,4,4,5,3,4,9,1,274,0,desktop,stability,1
60,female,23-29,tier2,college,10k-20k,monthly,4,2,2,4,3,4,4,9,1,250,0,desktop,price,1
61,male,23-29,tier3,bachelor,10k-20k,rarely,3,3,3,4,4,3,4,10,0,244,0,desktop,ui,0
62,male,23-29,tier1,bachelor,<5k,daily,4,4,3,3,3,4,3,7,1,234,0,mobile,ui,1
63,female,23-29,tier2,highschool_or_below,10k-20k,daily,5,5,5,5,5,4,4,8,1,243,0,mobile,ui,1
64,female,40-49,tier3,bachelor,5k-10k,weekly,4,3,3,4,4,3,4,10,1,260,0,mobile,feature_request,1
65,female,30-39,tier4plus,bachelor,10k-20k,weekly,4,5,4,5,4,5,5,10,1,322,0,mobile,stability,1
66,male,50+,tier4plus,bachelor,10k-20k,weekly,2,4,3,3,4,3,3,6,1,109,0,mobile,feature_request,1
67,male,23-29,tier1,bachelor,10k-20k,weekly,4,4,4,4,3,4,4,10,1,172,0,mobile,performance,1
68,female,23-29,tier1,highschool_or_below,10k-20k,weekly,3,3,4,4,3,2,3,10,1,89,0,mobile,price,0
69,male,18-22,tier2,college,5k-10k,weekly,3,4,4,4,5,4,4,10,1,187,0,mobile,feature_request,1
70,female,30-39,tier3,bachelor,10k-20k,daily,3,4,4,3,5,3,4,10,1,133,0,mobile,performance,1
71,female,40-49,tier1,college,5k-10k,weekly,3,3,3,3,3,3,3,5,1,251,0,mobile,performance,1
72,female,30-39,tier2,bachelor,<5k,weekly,4,3,2,3,4,5,3,7,1,284,0,mobile,performance,1
73,female,40-49,tier2,highschool_or_below,5k-10k,monthly,3,4,3,4,1,2,3,5,1,185,0,mobile,price,1
74,male,30-39,tier1,bachelor,5k-10k,daily,3,5,4,4,4,4,4,10,1,200,0,mobile,ui,1
75,female,18-22,tier3,master_plus,<5k,monthly,2,3,2,2,2,3,3,7,1,269,0,desktop,stability,1
76,female,40-49,tier1,highschool_or_below,>20k,weekly,4,5,5,4,5,5,4,10,1,233,0,mobile,performance,1
77,female,30-39,tier3,college,<5k,weekly,3,4,2,3,1,2,2,7,1,81,0,mobile,ui,0
78,male,18-22,tier2,college,5k-10k,rarely,4,4,3,3,2,3,4,10,1,191,0,mobile,ui,1
79,female,23-29,tier2,bachelor,5k-10k,daily,2,4,3,4,4,4,4,8,1,208,0,mobile,stability,1
